0	17.667
1	19.994
2	19.519
3	18.970
4	20.611
5	20.789
6	20.188
7	20.551
8	21.358
9	19.500
10	21.452
11	21.484
12	20.818
13	22.036
14	22.036
15	19.049
16	17.357
17	19.288
18	19.353
19	18.533
20	19.130
21	21.880
22	23.707
23	21.868
24	20.599
25	18.828
26	21.849
27	21.914
28	21.036
29	19.446
30	19.252
31	20.506
32	21.103
33	21.944
34	22.370
35	22.661
36	22.995
37	24.867
38	26.061
39	25.319
40	23.063
41	24.611
42	24.898
43	24.101
44	23.513
45	21.577
46	23.179
47	24.752
48	25.057
49	25.963
50	25.703
51	25.733
52	28.481
53	28.175
54	26.175
55	27.655
56	29.558
57	30.377
58	30.733
59	31.344
60	29.679
61	30.424
62	30.775
63	30.073
64	31.872
65	32.119
66	33.513
67	34.302
68	33.099
69	34.029
70	35.293
71	35.854
72	36.067
73	37.540
74	38.403
75	38.244
76	39.168
77	38.898
78	39.737
79	41.348
80	41.809
81	42.310
82	42.972
83	43.774
84	44.457
85	44.371
86	44.751
87	45.471
88	46.155
89	47.014
90	47.194
91	47.723
92	47.824
93	48.333
94	48.333
95	48.910
96	49.295
97	49.204
98	50.462
99	50.922
100	50.837
101	50.933
102	50.700
103	51.287
104	51.962
105	52.829
106	53.015
107	53.427
108	53.244
109	54.067
110	54.662
111	54.606
112	54.648
113	54.654
114	54.237
115	54.675
116	55.200
117	55.392
118	55.383
119	55.993
120	56.218
121	56.318
122	56.119
123	56.334
124	56.783
125	57.043
126	57.173
127	57.297
128	57.397
129	57.510
130	57.572
131	58.037
132	58.313
133	58.333
134	58.959
135	59.249
136	59.295
137	59.436
138	59.518
139	59.679
140	60.149
141	60.317
142	60.581
143	61.118
144	61.039
145	61.562
146	61.995
147	62.422
148	62.432
149	62.514
150	63.175
151	63.514
152	64.139
153	64.352
154	64.452
155	64.897
156	65.090
157	65.305
158	65.543
159	65.903
160	66.407
161	66.635
162	66.601
163	66.832
164	67.497
165	67.764
166	67.513
167	67.843
168	68.080
169	68.202
170	68.941
171	69.243
172	69.966
173	70.825
174	70.533
175	71.077
176	71.211
177	71.369
178	71.362
179	72.361
180	72.570
181	72.909
182	73.225
183	73.705
184	74.502
185	74.949
186	74.802
187	75.398
188	76.321
189	76.981
190	77.701
191	77.634
192	77.811
193	78.703
194	79.425
195	79.671
196	80.207
197	81.088
198	81.746
199	82.439
200	83.400
201	83.848
202	84.191
