0	29.333
1	30.347
2	30.611
3	29.231
4	29.144
5	31.174
6	28.950
7	28.029
8	28.977
9	30.430
10	30.595
11	29.344
12	28.150
13	27.083
14	28.864
15	29.512
16	30.117
17	27.634
18	30.521
19	28.616
20	28.715
21	30.820
22	30.373
23	29.703
24	29.000
25	30.227
26	29.243
27	30.228
28	32.348
29	31.962
30	30.407
31	29.786
32	30.077
33	30.263
34	29.777
35	30.070
36	31.789
37	31.864
38	32.813
39	34.066
40	32.673
41	32.117
42	31.619
43	32.178
44	31.743
45	30.939
46	29.030
47	32.572
48	33.132
49	31.662
50	32.707
51	33.585
52	33.178
53	34.381
54	35.731
55	34.253
56	29.859
57	30.411
58	29.576
59	32.566
60	35.199
61	33.931
62	32.921
63	31.633
64	31.384
65	32.850
66	32.835
67	32.311
68	33.533
69	32.564
70	30.956
71	32.110
72	33.355
73	34.538
74	34.067
75	34.507
76	37.118
77	35.357
78	34.389
79	34.177
80	34.110
81	36.404
82	36.673
83	35.421
84	33.810
85	34.002
86	36.356
87	35.047
88	33.189
89	34.113
90	34.218
91	34.929
92	35.486
93	36.837
94	34.958
95	34.254
96	34.738
97	35.564
98	34.135
99	34.506
100	33.933
101	34.705
102	36.251
103	34.990
104	34.818
105	36.596
106	37.069
107	36.139
108	35.657
109	34.958
110	34.947
111	35.317
112	36.351
113	35.528
114	37.123
115	36.858
116	35.576
117	35.805
118	34.421
119	32.999
120	36.837
121	36.545
122	36.940
123	37.654
124	38.520
125	37.667
126	36.999
127	37.240
128	37.939
129	38.017
130	38.289
131	37.035
132	37.820
133	38.718
134	37.938
135	34.682
136	35.464
137	38.432
138	35.653
139	35.334
140	36.589
141	36.437
142	35.262
143	35.991
144	39.255
145	39.930
146	37.390
147	36.129
148	34.313
149	37.749
150	38.680
151	38.637
152	38.470
153	37.430
154	36.371
155	38.914
156	39.126
157	38.167
158	38.614
159	37.722
160	38.357
161	40.907
162	41.816
163	40.099
164	37.634
165	37.497
166	38.898
167	39.108
168	39.553
169	40.251
170	39.006
171	38.056
172	38.826
173	40.511
174	40.389
175	38.827
176	42.507
177	44.146
178	42.052
179	43.677
180	45.373
181	46.217
182	46.843
183	43.239
184	43.501
185	43.186
186	42.792
187	42.418
188	44.738
189	45.344
190	43.015
191	42.327
192	44.656
193	45.272
194	44.626
195	47.694
196	47.732
197	46.479
198	47.078
199	47.232
200	47.933
201	46.906
202	45.541
203	43.863
204	48.322
205	46.181
206	45.997
207	46.878
208	46.261
209	46.745
210	45.789
211	43.280
212	45.037
213	49.110
214	47.937
215	46.466
216	47.473
217	48.653
218	47.509
219	47.177
220	48.939
221	48.099
222	46.804
223	47.801
224	47.833
225	48.133
226	49.053
227	47.791
228	48.785
229	49.952
230	51.591
231	53.809
232	53.863
233	54.862
234	54.814
235	53.654
236	53.152
237	54.165
238	55.190
239	54.224
240	55.238
241	56.013
242	57.027
243	58.311
244	59.542
245	60.026
246	60.115
247	60.267
248	61.317
249	62.596
250	62.667
251	63.205
252	64.928
253	65.666
254	66.786
255	67.147
256	68.538
257	70.252
258	71.697
259	72.910
260	74.081
261	75.355
262	75.629
263	77.493
264	78.954
265	80.097
266	81.376
267	84.441
268	86.561
269	88.069
270	89.467
271	91.179
272	94.166
273	97.244
274	98.906
275	102.120
276	109.407
277	119.676
278	127.500
279	133.330
280	136.415
